source_company_id,source_company_name,source_material_name,target_company_id,target_company_name,target_material_name,match_score,match_type,potential_value,ai_generated,generated_at
company_001,Saudi Aramco,Steel,company_002,SABIC,Steel Scrap,0.7,specialty,1077249.2800454516,True,2025-07-20T02:27:32.464793
company_001,Saudi Aramco,Steel,company_002,SABIC,Chemical Waste,0.7,specialty,180.0,True,2025-07-20T02:27:32.464793
company_001,Saudi Aramco,Steel,company_002,SABIC,Solvent Waste,0.7,specialty,135.0,True,2025-07-20T02:27:32.464793
company_001,Saudi Aramco,Steel,company_002,SABIC,Catalyst Waste,0.7,specialty,720.0,True,2025-07-20T02:27:32.464793
company_001,Saudi Aramco,Steel,company_002,SABIC,PVC Waste,0.7,specialty,540.0,True,2025-07-20T02:27:32.464793
company_001,Saudi Aramco,Steel,company_002,SABIC,Plastic Scraps,0.7,specialty,360.0,True,2025-07-20T02:27:32.464793
company_001,Saudi Aramco,Steel,company_002,SABIC,Polymer Waste,0.7,specialty,450.0,True,2025-07-20T02:27:32.464793
company_001,Saudi Aramco,Steel,company_002,SABIC,General Waste,0.7,specialty,45.0,True,2025-07-20T02:27:32.464793
company_001,Saudi Aramco,Aluminum Scrap,company_002,SABIC,Aluminum,0.7,specialty,1315776.3843306492,True,2025-07-20T02:27:32.508798
company_001,Saudi Aramco,Aluminum Scrap,company_002,SABIC,Aluminum,0.7,specialty,1824005.7583253449,True,2025-07-20T02:27:32.508798
company_001,Saudi Aramco,Aluminum Scrap,company_002,SABIC,Aluminum,0.7,specialty,1824005.7583253449,True,2025-07-20T02:27:32.508798
company_001,Saudi Aramco,Aluminum Scrap,company_002,SABIC,Generic Material - SABIC,0.7,specialty,1800.0,True,2025-07-20T02:27:32.508798
company_001,Saudi Aramco,Aluminum Scrap,company_002,SABIC,Sulfuric Acid,0.7,specialty,720.0,True,2025-07-20T02:27:32.508798
company_001,Saudi Aramco,Aluminum Scrap,company_002,SABIC,Sodium Hydroxide,0.7,specialty,1080.0,True,2025-07-20T02:27:32.509807
company_001,Saudi Aramco,Aluminum Scrap,company_002,SABIC,Ethylene Glycol,0.7,specialty,1350.0,True,2025-07-20T02:27:32.509807
company_001,Saudi Aramco,Aluminum Scrap,company_002,SABIC,Chemical Waste,0.7,specialty,180.0,True,2025-07-20T02:27:32.509807
company_001,Saudi Aramco,Generic Material - Saudi Aramco,company_002,SABIC,Steel Scrap,0.7,specialty,1800.0,True,2025-07-20T02:27:32.558957
company_001,Saudi Aramco,Generic Material - Saudi Aramco,company_002,SABIC,Chemical Waste,0.7,specialty,180.0,True,2025-07-20T02:27:32.558957
company_001,Saudi Aramco,Generic Material - Saudi Aramco,company_002,SABIC,Solvent Waste,0.7,specialty,135.0,True,2025-07-20T02:27:32.558957
company_001,Saudi Aramco,Generic Material - Saudi Aramco,company_002,SABIC,Catalyst Waste,0.7,specialty,720.0,True,2025-07-20T02:27:32.558957
company_001,Saudi Aramco,Generic Material - Saudi Aramco,company_002,SABIC,PVC Waste,0.7,specialty,540.0,True,2025-07-20T02:27:32.558957
company_001,Saudi Aramco,Generic Material - Saudi Aramco,company_002,SABIC,Plastic Scraps,0.7,specialty,360.0,True,2025-07-20T02:27:32.558957
company_001,Saudi Aramco,Generic Material - Saudi Aramco,company_002,SABIC,Polymer Waste,0.7,specialty,450.0,True,2025-07-20T02:27:32.558957
company_001,Saudi Aramco,Generic Material - Saudi Aramco,company_002,SABIC,General Waste,0.7,specialty,45.0,True,2025-07-20T02:27:32.558957
company_001,Saudi Aramco,Sulfuric Acid,company_002,SABIC,Steel Scrap,0.7,specialty,720.0,True,2025-07-20T02:27:32.605109
company_001,Saudi Aramco,Sulfuric Acid,company_002,SABIC,Chemical Waste,0.7,specialty,180.0,True,2025-07-20T02:27:32.605109
company_001,Saudi Aramco,Sulfuric Acid,company_002,SABIC,Solvent Waste,0.7,specialty,135.0,True,2025-07-20T02:27:32.605109
company_001,Saudi Aramco,Sulfuric Acid,company_002,SABIC,Catalyst Waste,0.7,specialty,720.0,True,2025-07-20T02:27:32.605109
company_001,Saudi Aramco,Sulfuric Acid,company_002,SABIC,Polyethylene,0.7,specialty,720.0,True,2025-07-20T02:27:32.605109
company_001,Saudi Aramco,Sulfuric Acid,company_002,SABIC,Polypropylene,0.7,specialty,720.0,True,2025-07-20T02:27:32.605109
company_001,Saudi Aramco,Sulfuric Acid,company_002,SABIC,PVC Waste,0.7,specialty,540.0,True,2025-07-20T02:27:32.605109
company_001,Saudi Aramco,Sulfuric Acid,company_002,SABIC,Plastic Scraps,0.7,specialty,360.0,True,2025-07-20T02:27:32.605109
company_001,Saudi Aramco,Sodium Hydroxide,company_002,SABIC,Steel Scrap,0.7,specialty,1080.0,True,2025-07-20T02:27:32.648699
company_001,Saudi Aramco,Sodium Hydroxide,company_002,SABIC,Chemical Waste,0.7,specialty,180.0,True,2025-07-20T02:27:32.648699
company_001,Saudi Aramco,Sodium Hydroxide,company_002,SABIC,Solvent Waste,0.7,specialty,135.0,True,2025-07-20T02:27:32.648699
company_001,Saudi Aramco,Sodium Hydroxide,company_002,SABIC,Catalyst Waste,0.7,specialty,720.0,True,2025-07-20T02:27:32.648699
company_001,Saudi Aramco,Sodium Hydroxide,company_002,SABIC,Polyethylene,0.7,specialty,1080.0,True,2025-07-20T02:27:32.648699
company_001,Saudi Aramco,Sodium Hydroxide,company_002,SABIC,Polypropylene,0.7,specialty,1080.0,True,2025-07-20T02:27:32.648699
company_001,Saudi Aramco,Sodium Hydroxide,company_002,SABIC,PVC Waste,0.7,specialty,540.0,True,2025-07-20T02:27:32.648699
company_001,Saudi Aramco,Sodium Hydroxide,company_002,SABIC,Plastic Scraps,0.7,specialty,360.0,True,2025-07-20T02:27:32.648699
company_001,Saudi Aramco,Ethylene Glycol,company_002,SABIC,Steel Scrap,0.7,specialty,1350.0,True,2025-07-20T02:27:32.715232
company_001,Saudi Aramco,Ethylene Glycol,company_002,SABIC,Chemical Waste,0.7,specialty,180.0,True,2025-07-20T02:27:32.715232
company_001,Saudi Aramco,Ethylene Glycol,company_002,SABIC,Solvent Waste,0.7,specialty,135.0,True,2025-07-20T02:27:32.715232
company_001,Saudi Aramco,Ethylene Glycol,company_002,SABIC,Catalyst Waste,0.7,specialty,720.0,True,2025-07-20T02:27:32.715232
company_001,Saudi Aramco,Ethylene Glycol,company_002,SABIC,Polyethylene,0.7,specialty,1350.0,True,2025-07-20T02:27:32.715232
company_001,Saudi Aramco,Ethylene Glycol,company_002,SABIC,Polypropylene,0.7,specialty,1350.0,True,2025-07-20T02:27:32.715232
